"t"	"ball"	"platform"
7.000000000000004e-01	7.577437038389012e+00	0.000000000000000e+00
7.100000000000004e-01	7.507998392996018e+00	0.000000000000000e+00
7.200000000000004e-01	7.437581262847432e+00	0.000000000000000e+00
7.300000000000004e-01	7.366185684508060e+00	0.000000000000000e+00
7.400000000000004e-01	7.293811694541844e+00	0.000000000000000e+00
7.500000000000004e-01	7.220459329512515e+00	0.000000000000000e+00
7.600000000000005e-01	7.146128625984272e+00	0.000000000000000e+00
7.700000000000005e-01	7.070819620522337e+00	0.000000000000000e+00
7.800000000000005e-01	6.994532349693618e+00	0.000000000000000e+00
7.900000000000005e-01	6.917266850067260e+00	0.000000000000000e+00
8.000000000000005e-01	6.839023158215266e+00	0.000000000000000e+00
8.100000000000005e-01	6.759801310713113e+00	0.000000000000000e+00
8.200000000000005e-01	6.679601344140101e+00	0.000000000000000e+00
8.300000000000005e-01	6.598423295080211e+00	0.000000000000000e+00
8.400000000000004e-01	6.516267200122376e+00	0.000000000000000e+00
8.500000000000004e-01	6.433133095861162e+00	0.000000000000000e+00
8.600000000000004e-01	6.349021018897209e+00	0.000000000000000e+00
8.700000000000004e-01	6.263931005837842e+00	0.000000000000000e+00
8.800000000000004e-01	6.177863093297568e+00	0.000000000000000e+00
8.900000000000005e-01	6.090817317898574e+00	0.000000000000000e+00
9.000000000000005e-01	6.002793716271242e+00	0.000000000000000e+00
9.100000000000005e-01	5.913792325054741e+00	0.000000000000000e+00
9.200000000000005e-01	5.823813180897480e+00	0.000000000000000e+00
9.300000000000005e-01	5.732856320457699e+00	0.000000000000000e+00
9.400000000000004e-01	5.640921780404042e+00	0.000000000000000e+00
9.500000000000004e-01	5.548009597415950e+00	0.000000000000000e+00
9.600000000000004e-01	5.454119808184406e+00	0.000000000000000e+00
9.700000000000004e-01	5.359252449412376e+00	0.000000000000000e+00
9.800000000000003e-01	5.263407557815448e+00	0.000000000000000e+00
9.900000000000002e-01	5.166585170122423e+00	0.000000000000000e+00
1.000000000000000e+00	5.068785323075952e+00	0.000000000000000e+00
1.010000000000000e+00	4.970008053433095e+00	0.000000000000000e+00
1.020000000000000e+00	4.870253397966017e+00	0.000000000000000e+00
1.030000000000000e+00	4.769521393462713e+00	0.000000000000000e+00
1.040000000000000e+00	4.667812076727602e+00	0.000000000000000e+00
1.050000000000000e+00	4.565125484582313e+00	0.000000000000000e+00
1.060000000000000e+00	4.461461653866474e+00	0.000000000000000e+00
1.070000000000000e+00	4.356820621438444e+00	0.000000000000000e+00
1.080000000000000e+00	4.251202424176118e+00	0.000000000000000e+00
1.090000000000000e+00	4.144607098978009e+00	0.000000000000000e+00
1.100000000000000e+00	4.037034682763880e+00	0.000000000000000e+00
1.110000000000000e+00	3.928485212475926e+00	0.000000000000000e+00
1.120000000000000e+00	3.818958725079741e+00	0.000000000000000e+00
1.130000000000000e+00	3.708455257565418e+00	0.000000000000000e+00
1.140000000000000e+00	3.596974846948718e+00	0.000000000000000e+00
1.150000000000000e+00	3.484517530272343e+00	0.000000000000000e+00
1.160000000000000e+00	3.371083344607271e+00	0.000000000000000e+00
1.170000000000000e+00	3.256672327054220e+00	0.000000000000000e+00
1.180000000000000e+00	3.141284514745192e+00	0.000000000000000e+00
1.190000000000000e+00	3.024919944845204e+00	0.000000000000000e+00
1.200000000000000e+00	2.907578654554166e+00	0.000000000000000e+00
1.210000000000000e+00	2.789260681108804e+00	0.000000000000000e+00
1.220000000000000e+00	2.669966061785044e+00	0.000000000000000e+00
1.230000000000000e+00	2.549694833900337e+00	0.000000000000000e+00
1.240000000000000e+00	2.428447034816470e+00	0.000000000000000e+00
1.250000000000000e+00	2.306222701942638e+00	0.000000000000000e+00
1.260000000000000e+00	2.183021872738796e+00	0.000000000000000e+00
1.270000000000000e+00	2.058844584719627e+00	0.000000000000000e+00
1.280000000000000e+00	1.933690875458934e+00	0.000000000000000e+00
1.290000000000000e+00	1.807560782594682e+00	0.000000000000000e+00
1.300000000000000e+00	1.680454343835030e+00	0.000000000000000e+00
1.310000000000000e+00	1.552371596965128e+00	0.000000000000000e+00
1.320000000000000e+00	1.423312579855431e+00	0.000000000000000e+00
1.330000000000000e+00	1.293277330471572e+00	0.000000000000000e+00
1.340000000000000e+00	1.162265886886524e+00	0.000000000000000e+00
1.350000000000000e+00	1.030278287295699e+00	0.000000000000000e+00
1.360000000000000e+00	8.973145700363424e-01	0.000000000000000e+00
1.370000000000000e+00	7.633747736129046e-01	0.000000000000000e+00
1.380000000000000e+00	6.284589367317602e-01	0.000000000000000e+00
1.390000000000000e+00	4.925670983506962e-01	0.000000000000000e+00
1.400000000000000e+00	3.556992977543949e-01	0.000000000000000e+00
1.410000000000000e+00	2.178555746805381e-01	0.000000000000000e+00
1.420000000000000e+00	7.903596956483222e-02	0.000000000000000e+00
1.430000000000000e+00	4.954448873819353e-02	-1.102918913878750e-02
1.440000000000000e+00	1.630554419992697e-01	-3.644562117056844e-02
1.450000000000000e+00	2.755811808863382e-01	-6.184860305529780e-02
1.460000000000000e+00	3.871217489315057e-01	-8.723758837001294e-02
1.470000000000000e+00	4.976771869259433e-01	-1.126120620142522e-01
1.480000000000000e+00	6.072475351465552e-01	-1.379715187174406e-01
1.490000000000000e+00	7.158328335562167e-01	-1.633154527710362e-01
1.500000000000000e+00	8.234331219021982e-01	-1.886433586400933e-01
1.510000000000000e+00	9.300484397723403e-01	-2.139547319206768e-01
1.520000000000000e+00	1.035678826630116e+00	-2.392490700077174e-01
1.530000000000000e+00	1.140324321837669e+00	-2.645258708827866e-01
1.540000000000000e+00	1.243984964671519e+00	-2.897846331286890e-01
1.550000000000000e+00	1.346660794333442e+00	-3.150248559611507e-01
1.560000000000000e+00	1.448351849958132e+00	-3.402460392537734e-01
1.570000000000001e+00	1.549058170618553e+00	-3.654476835586562e-01
1.580000000000001e+00	1.648779795329633e+00	-3.906292901241173e-01
1.590000000000001e+00	1.747516763050741e+00	-4.157903609104009e-01
1.600000000000001e+00	1.845269112687285e+00	-4.409303986039472e-01
1.610000000000001e+00	1.942036883091545e+00	-4.660489066306068e-01
1.620000000000001e+00	2.037820113063059e+00	-4.911453891680611e-01
