"t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
6.139999999999914e+00	1.210508276125515e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999978533083e-01	1.930000000000039e+01	1.995220418882189e+00
6.149999999999913e+00	1.209423256077354e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999980317864e-01	1.925000000000039e+01	1.993874207205116e+00
6.159999999999913e+00	1.208365020923534e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999981915547e-01	1.920000000000039e+01	1.992517476902937e+00
6.169999999999913e+00	1.207332647921564e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999983349125e-01	1.915000000000039e+01	1.991152678763593e+00
6.179999999999913e+00	1.206325204357522e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999984638456e-01	1.910000000000039e+01	1.989781589290600e+00
6.189999999999912e+00	1.205341755832847e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999985800718e-01	1.905000000000039e+01	1.988405493285603e+00
6.199999999999912e+00	1.204381372422653e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999986850803e-01	1.900000000000039e+01	1.987025317543941e+00
6.209999999999912e+00	1.203443133156024e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999987801640e-01	1.895000000000039e+01	1.985641728647018e+00
6.219999999999912e+00	1.202526129198939e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999988664479e-01	1.890000000000039e+01	1.984255204407477e+00
6.229999999999912e+00	1.201629466049027e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999989449131e-01	1.885000000000039e+01	1.982866085996234e+00
6.239999999999911e+00	1.200752264986792e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999990164168e-01	1.880000000000039e+01	1.981474615918549e+00
6.249999999999911e+00	1.199893663973331e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999990817091e-01	1.875000000000039e+01	1.980080965634999e+00
6.259999999999911e+00	1.199052818140095e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999991414485e-01	1.870000000000039e+01	1.978685255613719e+00
6.269999999999911e+00	1.198228899980987e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999991962140e-01	1.865000000000039e+01	1.977287569857619e+00
6.279999999999911e+00	1.197421099329637e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999992465151e-01	1.860000000000039e+01	1.975887966404145e+00
6.289999999999910e+00	1.196628623183644e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999992928018e-01	1.855000000000039e+01	1.974486484893912e+00
6.299999999999910e+00	1.195850695421508e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999993354722e-01	1.850000000000039e+01	1.973083152009863e+00
6.309999999999910e+00	1.195086556445934e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999993748787e-01	1.845000000000040e+01	1.971677985372467e+00
6.319999999999910e+00	1.194335462778147e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999994113344e-01	1.840000000000040e+01	1.970270996317960e+00
6.329999999999909e+00	1.193596686621120e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999994451176e-01	1.835000000000040e+01	1.968862191870622e+00
6.339999999999909e+00	1.192869515404646e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999994764763e-01	1.830000000000040e+01	1.967451576135156e+00
6.349999999999909e+00	1.192153251321525e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999995056315e-01	1.825000000000041e+01	1.966039151273217e+00
6.359999999999909e+00	1.191447210861441e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999995327811e-01	1.820000000000040e+01	1.964624918182877e+00
6.369999999999909e+00	1.190750724347139e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999995581020e-01	1.815000000000041e+01	1.963208876966796e+00
6.379999999999908e+00	1.190063340123528e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999995817462e-01	1.810000000000041e+01	1.961791027250923e+00
6.389999999999908e+00	1.189384596559366e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999996038516e-01	1.805000000000041e+01	1.960371368398079e+00
6.399999999999908e+00	1.188713865766993e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999996245481e-01	1.800000000000041e+01	1.958949899648176e+00
6.409999999999908e+00	1.188050529360144e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999996439528e-01	1.795000000000041e+01	1.957526620207687e+00
6.419999999999908e+00	1.187393978634507e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999996621711e-01	1.790000000000041e+01	1.955758515730043e+00
6.429999999999907e+00	1.186749528295569e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999996791469e-01	1.785000000000041e+01	1.953733222276859e+00
6.439999999999907e+00	1.186120843243005e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999996948851e-01	1.780000000000041e+01	1.951515660524594e+00
6.449999999999907e+00	1.185510372851882e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997094282e-01	1.775000000000041e+01	1.949152972916296e+00
6.459999999999907e+00	1.184919687406582e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997228397e-01	1.770000000000041e+01	1.946679802248175e+00
6.469999999999906e+00	1.184349714688924e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997351938e-01	1.765000000000041e+01	1.944123052417556e+00
6.479999999999906e+00	1.183800888461757e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997465688e-01	1.760000000000041e+01	1.941502653783248e+00
6.489999999999906e+00	1.183273280540485e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997570432e-01	1.755000000000041e+01	1.938833370716391e+00
6.499999999999906e+00	1.182766698689979e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997666926e-01	1.750000000000041e+01	1.936126140632197e+00
6.509999999999906e+00	1.182280759203904e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997755884e-01	1.745000000000041e+01	1.933389065943110e+00
6.519999999999905e+00	1.181814940700395e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997837973e-01	1.740000000000041e+01	1.930628148896472e+00
6.529999999999905e+00	1.181368623975005e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997913807e-01	1.735000000000041e+01	1.927847835941278e+00
6.539999999999905e+00	1.180941121495366e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999997983948e-01	1.730000000000042e+01	1.925051420994274e+00
6.549999999999905e+00	1.180531699199650e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998048912e-01	1.725000000000042e+01	1.922241344178850e+00
6.559999999999905e+00	1.180139592575985e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998109166e-01	1.720000000000042e+01	1.919419413130306e+00
6.569999999999904e+00	1.179764018493037e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998165132e-01	1.715000000000042e+01	1.916586966938384e+00
6.579999999999904e+00	1.179404183871558e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998217199e-01	1.710000000000041e+01	1.913744997595576e+00
6.589999999999904e+00	1.179059292010049e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998265716e-01	1.705000000000042e+01	1.910894239965768e+00
6.599999999999904e+00	1.178728547168667e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998311003e-01	1.700000000000042e+01	1.908035238432808e+00
6.609999999999904e+00	1.178411157858180e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998353348e-01	1.695000000000042e+01	1.905168396273591e+00
6.619999999999903e+00	1.178106339169386e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998393018e-01	1.690000000000042e+01	1.902294012233516e+00
6.629999999999903e+00	1.177813314390864e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998430251e-01	1.685000000000042e+01	1.899412307621476e+00
6.639999999999903e+00	1.177531316098652e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998465268e-01	1.680000000000042e+01	1.896523446381735e+00
6.649999999999903e+00	1.177259586856779e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998498270e-01	1.675000000000042e+01	1.893627549963119e+00
6.659999999999902e+00	1.176997379628685e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998529443e-01	1.670000000000043e+01	1.890724708334046e+00
6.669999999999902e+00	1.176743957977249e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998558957e-01	1.665000000000043e+01	1.887814988142423e+00
6.679999999999902e+00	1.176498596108954e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998586967e-01	1.660000000000043e+01	1.884898438760463e+00
6.689999999999902e+00	1.176260578804695e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998613618e-01	1.655000000000043e+01	1.881975096762657e+00
6.699999999999902e+00	1.176029201267874e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998639044e-01	1.650000000000043e+01	1.879044989243029e+00
6.709999999999901e+00	1.175803768914083e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998663369e-01	1.645000000000043e+01	1.876108136272547e+00
6.719999999999901e+00	1.175583597118441e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998686706e-01	1.640000000000043e+01	1.873162930344298e+00
6.729999999999901e+00	1.175368040684239e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998709159e-01	1.635000000000043e+01	1.870208964589710e+00
6.739999999999901e+00	1.175156470747971e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998730823e-01	1.630000000000043e+01	1.867246787552375e+00
6.749999999999901e+00	1.174948256680373e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998751790e-01	1.625000000000043e+01	1.864276805593270e+00
6.759999999999900e+00	1.174742768595881e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998772140e-01	1.620000000000043e+01	1.861299319744513e+00
6.769999999999900e+00	1.174539379129316e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998791957e-01	1.615000000000043e+01	1.858314553010620e+00
6.779999999999900e+00	1.174337464671512e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998811315e-01	1.610000000000043e+01	1.855322670593280e+00
6.789999999999900e+00	1.174136406203560e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998830281e-01	1.605000000000043e+01	1.852323794873853e+00
6.799999999999899e+00	1.173935589838023e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998848923e-01	1.600000000000044e+01	1.849318016512415e+00
6.809999999999899e+00	1.173734407142656e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998867301e-01	1.595000000000044e+01	1.846305402669918e+00
6.819999999999899e+00	1.173532255305948e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998885472e-01	1.590000000000044e+01	1.843286003099172e+00
6.829999999999899e+00	1.173328537187615e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998903488e-01	1.585000000000044e+01	1.840259854657037e+00
6.839999999999899e+00	1.173122661284899e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998921401e-01	1.580000000000044e+01	1.837226984647061e+00
6.849999999999898e+00	1.172914041640100e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998939252e-01	1.575000000000044e+01	1.834187413295700e+00
6.859999999999898e+00	1.172702097705135e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998957085e-01	1.570000000000045e+01	1.831141155586701e+00
6.869999999999898e+00	1.172486254177493e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998974940e-01	1.565000000000045e+01	1.828088222620017e+00
6.879999999999898e+00	1.172265940816504e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999998992848e-01	1.560000000000045e+01	1.825028622618487e+00
6.889999999999898e+00	1.172040592247149e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999010842e-01	1.555000000000045e+01	1.821962361673583e+00
6.899999999999897e+00	1.171809647757446e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999028950e-01	1.550000000000045e+01	1.818889444297866e+00
6.909999999999897e+00	1.171572551092158e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999047195e-01	1.545000000000046e+01	1.815809873834235e+00
6.919999999999897e+00	1.171328750246587e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999065599e-01	1.540000000000046e+01	1.812723652759110e+00
6.929999999999897e+00	1.171077697262411e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999084178e-01	1.535000000000046e+01	1.809630782907019e+00
6.939999999999896e+00	1.170818848026999e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999102948e-01	1.530000000000047e+01	1.806531265636979e+00
6.949999999999896e+00	1.170551661447809e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999121918e-01	1.525000000000047e+01	1.803425101955749e+00
6.959999999999896e+00	1.170275598862805e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999141098e-01	1.520000000000046e+01	1.800312292609133e+00
6.969999999999896e+00	1.169990124950779e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999160492e-01	1.515000000000047e+01	1.797192838149625e+00
6.979999999999896e+00	1.169694707568854e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999180100e-01	1.510000000000047e+01	1.794066738986509e+00
6.989999999999895e+00	1.169388817578530e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999199920e-01	1.505000000000047e+01	1.790931524866020e+00
6.999999999999895e+00	1.169071975838521e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999219945e-01	1.500000000000046e+01	1.787787509738370e+00
7.009999999999895e+00	1.168777510666778e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999238106e-01	1.495000000000046e+01	1.784635266844969e+00
7.019999999999895e+00	1.168436484618186e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999258611e-01	1.490000000000047e+01	1.780829683904100e+00
7.029999999999895e+00	1.168095399364373e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999278568e-01	1.485000000000047e+01	1.776534688055464e+00
7.039999999999894e+00	1.167762687064573e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999297517e-01	1.480000000000047e+01	1.771871716524154e+00
7.049999999999894e+00	1.167444244210963e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999315188e-01	1.475000000000047e+01	1.766930730006521e+00
7.059999999999894e+00	1.167144098639691e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999331435e-01	1.470000000000047e+01	1.761778371386421e+00
7.069999999999894e+00	1.166864900825558e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999346202e-01	1.465000000000047e+01	1.756464009712214e+00
7.079999999999893e+00	1.166608286584014e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999359488e-01	1.460000000000047e+01	1.751024217574926e+00
7.089999999999893e+00	1.166375145275286e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999371323e-01	1.455000000000047e+01	1.745486087949988e+00
7.099999999999893e+00	1.166165818353029e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999381763e-01	1.450000000000048e+01	1.739869691313600e+00
7.109999999999893e+00	1.165980246447431e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999390874e-01	1.445000000000047e+01	1.734189895874531e+00
7.119999999999893e+00	1.165818078359363e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999398725e-01	1.440000000000047e+01	1.728457716001836e+00
7.129999999999892e+00	1.165678751829652e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999405389e-01	1.435000000000047e+01	1.722681311140111e+00
7.139999999999892e+00	1.165561553373816e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999410938e-01	1.430000000000047e+01	1.716866725805914e+00
7.149999999999892e+00	1.165465662580855e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999415441e-01	1.425000000000047e+01	1.711015089919430e+00
7.159999999999892e+00	1.165390252106942e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999418956e-01	1.420000000000048e+01	1.705128232747239e+00
7.169999999999892e+00	1.165334473470676e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999421543e-01	1.415000000000047e+01	1.699209919805972e+00
7.179999999999891e+00	1.165297397240671e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999423257e-01	1.410000000000048e+01	1.693262940590352e+00
7.189999999999891e+00	1.165278092603488e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999424146e-01	1.405000000000048e+01	1.687289361558066e+00
7.199999999999891e+00	1.165275586134932e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999424262e-01	1.400000000000048e+01	1.681290713540972e+00
7.209999999999891e+00	1.165288890641954e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999423649e-01	1.395000000000048e+01	1.675268130579307e+00
7.219999999999891e+00	1.165317013233086e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999422351e-01	1.390000000000048e+01	1.669222452770081e+00
7.229999999999890e+00	1.165358961186791e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999420408e-01	1.385000000000048e+01	1.663154302457158e+00
7.239999999999890e+00	1.165413746187821e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999417863e-01	1.380000000000048e+01	1.657064140672873e+00
7.249999999999890e+00	1.165480387354858e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999414750e-01	1.375000000000048e+01	1.650952308949979e+00
7.259999999999890e+00	1.165557913374531e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999411110e-01	1.370000000000048e+01	1.644819060295941e+00
7.269999999999889e+00	1.165645363975688e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999406975e-01	1.365000000000048e+01	1.638664582138686e+00
7.279999999999889e+00	1.165741790918667e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999402384e-01	1.360000000000048e+01	1.632489013324826e+00
7.289999999999889e+00	1.165846258628518e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999397369e-01	1.355000000000048e+01	1.626292456711930e+00
7.299999999999889e+00	1.165957844568948e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999391964e-01	1.350000000000048e+01	1.620071328558942e+00
7.309999999999889e+00	1.166075717568930e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999386203e-01	1.345000000000049e+01	1.613823676755414e+00
7.319999999999888e+00	1.166199101462221e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999380115e-01	1.340000000000049e+01	1.607551080840913e+00
7.329999999999888e+00	1.166327198194251e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999373730e-01	1.335000000000049e+01	1.601254710938348e+00
7.339999999999888e+00	1.166459196830528e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999367082e-01	1.330000000000049e+01	1.594935433874773e+00
7.349999999999888e+00	1.166594280180779e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999360205e-01	1.325000000000049e+01	1.588593891795666e+00
7.359999999999888e+00	1.166731629655457e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999353135e-01	1.320000000000049e+01	1.582230560402401e+00
7.369999999999887e+00	1.166870428812459e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999345912e-01	1.315000000000050e+01	1.575845792094553e+00
7.379999999999887e+00	1.167009865934240e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999338576e-01	1.310000000000050e+01	1.569439847929729e+00
7.389999999999887e+00	1.167149135889135e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999331165e-01	1.305000000000050e+01	1.563012921299402e+00
7.399999999999887e+00	1.167287441464411e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999323723e-01	1.300000000000049e+01	1.556565155467978e+00
7.409999999999886e+00	1.167423994311634e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999316296e-01	1.295000000000050e+01	1.550096656565726e+00
7.419999999999886e+00	1.167558015608076e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999308926e-01	1.290000000000050e+01	1.543607503213952e+00
7.429999999999886e+00	1.167688736511571e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999301661e-01	1.285000000000050e+01	1.537097753655319e+00
7.439999999999886e+00	1.167815398466329e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999294549e-01	1.280000000000050e+01	1.530567451035989e+00
7.449999999999886e+00	1.167937253402385e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999287638e-01	1.275000000000050e+01	1.524012593010300e+00
7.459999999999885e+00	1.168053655605729e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999280973e-01	1.270000000000050e+01	1.517430513340190e+00
7.469999999999885e+00	1.168164029946162e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999274596e-01	1.265000000000051e+01	1.510823059603380e+00
7.479999999999885e+00	1.168267767543649e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999268551e-01	1.260000000000051e+01	1.504191600485450e+00
7.489999999999885e+00	1.168364237330525e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999262884e-01	1.255000000000051e+01	1.497537149908676e+00
7.499999999999885e+00	1.168452794641100e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999257643e-01	1.250000000000050e+01	1.490860458986679e+00
7.509999999999884e+00	1.168532787594703e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999252878e-01	1.245000000000051e+01	1.484162084144431e+00
7.519999999999884e+00	1.168603561841559e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999248635e-01	1.240000000000051e+01	1.477442437581550e+00
7.529999999999884e+00	1.168664464095205e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999244966e-01	1.235000000000051e+01	1.470701824655515e+00
7.539999999999884e+00	1.168714844766353e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999241916e-01	1.230000000000051e+01	1.463940471575144e+00
7.549999999999883e+00	1.168754059932247e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999239535e-01	1.225000000000051e+01	1.457158545915930e+00
7.559999999999883e+00	1.168781472815784e+01	3.000000000000000e+02	0.000000000000000e+00	9.999999999237865e-01	1.220000000000051e+01	1.450356171817800e+00
