   "t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
   5.0300000000000002e+00	   2.0995398662327958e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5150000000000002e+01	   1.0481532812118530e+00
   5.0400000000000000e+00	   2.0949080439016424e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5199999999999999e+01	   1.2392890453338623e+00
   5.0499999999999998e+00	   2.0816974837221796e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5250000000000000e+01	   1.3816975355148315e+00
   5.0600000000000005e+00	   2.0639816436348088e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5300000000000002e+01	   1.4880073070526123e+00
   5.0700000000000003e+00	   2.0437732473245731e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5350000000000001e+01	   1.5675734281539917e+00
   5.0800000000000001e+00	   2.0221981158985940e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5400000000000000e+01	   1.6273260116577148e+00
   5.0899999999999999e+00	   1.9999361843414217e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5449999999999999e+01	   1.6723990440368652e+00
   5.1000000000000005e+00	   1.9774186578611843e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5500000000000004e+01	   1.7065956592559814e+00
   5.1100000000000003e+00	   1.9549274612001966e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   0.0000000000000000e+00	   1.5550000000000001e+01	   1.7327333688735962e+00
   5.1200000000000001e+00	   1.9326500562614008e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   5.5511151231257827e-17	   1.5600000000000001e+01	   1.7528992891311646e+00
   5.1299999999999999e+00	   1.9107117834088648e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   2.2204460492503131e-16	   1.5649999999999999e+01	   1.7686398029327393e+00
   5.1399999999999997e+00	   1.8891959597896840e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.2212453270876722e-15	   1.5699999999999999e+01	   1.7811000347137451e+00
   5.1500000000000004e+00	   1.8681569072899194e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   6.6058269965196814e-15	   1.5750000000000002e+01	   1.7911285161972046e+00
   5.1600000000000001e+00	   1.8476286474082070e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   3.4083846855992306e-14	   1.5800000000000001e+01	   1.7993539571762085e+00
   5.1699999999999999e+00	   1.8276308583572483e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.6875389974302379e-13	   1.5850000000000000e+01	   1.8062419891357422e+00
   5.1799999999999997e+00	   1.8081730361176735e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   8.0024875614981283e-13	   1.5899999999999999e+01	   1.8121373653411865e+00
   5.1900000000000004e+00	   1.7892574400542664e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   3.6343150711104499e-12	   1.5950000000000003e+01	   1.8172957897186279e+00
   5.2000000000000002e+00	   1.7708811894553627e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.5808132580730216e-11	   1.6000000000000000e+01	   1.8219065666198730e+00
   5.2100000000000000e+00	   1.7530377821313579e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   6.5890792821932109e-11	   1.6050000000000001e+01	   1.8261096477508545e+00
   5.2199999999999998e+00	   1.7357181971383270e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   2.6337143577137567e-10	   1.6099999999999998e+01	   1.8300093412399292e+00
   5.2300000000000004e+00	   1.7189116785845005e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.0103851089127147e-09	   1.6150000000000002e+01	   1.8336825370788574e+00
   5.2400000000000002e+00	   1.7026063255145132e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   3.7238563899144594e-09	   1.6200000000000003e+01	   1.8371859788894653e+00
   5.2500000000000000e+00	   1.6867895181561096e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.3198515613765949e-08	   1.6250000000000000e+01	   1.8405621051788330e+00
   5.2599999999999998e+00	   1.6714482162537927e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   4.5033582585229937e-08	   1.6299999999999997e+01	   1.8438423871994019e+00
   5.2700000000000005e+00	   1.6565691825992349e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.4807680337458606e-07	   1.6350000000000001e+01	   1.8470497131347656e+00
   5.2800000000000002e+00	   1.6421391531130773e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   4.6971828349118283e-07	   1.6400000000000002e+01	   1.8502011299133301e+00
   5.2900000000000000e+00	   1.6281449491759961e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.4389492862809661e-06	   1.6449999999999999e+01	   1.8533096313476562e+00
   5.2999999999999998e+00	   1.6145735523439669e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   4.2615038266524685e-06	   1.6500000000000000e+01	   1.8563845157623291e+00
   5.3100000000000005e+00	   1.6014121695754262e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.2213290921714304e-05	   1.6550000000000004e+01	   1.8594321012496948e+00
   5.3200000000000003e+00	   1.5886482827121554e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   3.3906747425094252e-05	   1.6600000000000001e+01	   1.8624558448791504e+00
   5.3300000000000001e+00	   1.5762696938821275e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.1271973710060905e-05	   1.6649999999999999e+01	   1.8654603958129883e+00
   5.3399999999999999e+00	   1.5642644940513156e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   2.3843877449347683e-04	   1.6699999999999999e+01	   1.8684488534927368e+00
   5.3500000000000005e+00	   1.5526210834129767e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   6.0499410110415042e-04	   1.6750000000000004e+01	   1.8714238405227661e+00
   5.3600000000000003e+00	   1.5413281711424432e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.4918375812557616e-03	   1.6800000000000001e+01	   1.8743869066238403e+00
   5.3700000000000001e+00	   1.5303747861025174e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   3.5758044715524240e-03	   1.6850000000000001e+01	   1.8773397207260132e+00
   5.3799999999999999e+00	   1.5197502651214279e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   8.3259179765432512e-03	   1.6899999999999999e+01	   1.8802828788757324e+00
   5.3899999999999997e+00	   1.5094442635781093e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.8788536241763465e-02	   1.6949999999999999e+01	   1.8832172155380249e+00
   5.4000000000000004e+00	   1.4994467414337580e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   4.0865727895334880e-02	   1.7000000000000000e+01	   1.8861434459686279e+00
   5.4100000000000001e+00	   1.4897479562736851e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   8.4723243365718626e-02	   1.7050000000000001e+01	   1.8890618085861206e+00
   5.4199999999999999e+00	   1.4803384630952173e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   1.6423116994658521e-01	   1.7100000000000001e+01	   1.8919726610183716e+00
   5.4299999999999997e+00	   1.4712091031326405e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   2.8972330663516188e-01	   1.7149999999999999e+01	   1.8948760032653809e+00
   5.4400000000000004e+00	   1.4623510017431514e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   4.5311808434293183e-01	   1.7200000000000003e+01	   1.8977721929550171e+00
   5.4500000000000002e+00	   1.4537555532590321e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   6.2235492260434966e-01	   1.7250000000000000e+01	   1.9006615877151489e+00
   5.4600000000000000e+00	   1.4454144128533491e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   7.6257461825767248e-01	   1.7300000000000001e+01	   1.9035438299179077e+00
   5.4699999999999998e+00	   1.4373195016582121e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   8.5989761671807674e-01	   1.7349999999999998e+01	   1.9064193964004517e+00
   5.4800000000000004e+00	   1.4294629834898515e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.2004519974563004e-01	   1.7400000000000002e+01	   1.9092880487442017e+00
   5.4900000000000002e+00	   1.4218372704812388e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.5491265906433243e-01	   1.7450000000000003e+01	   1.9121497869491577e+00
   5.5000000000000000e+00	   1.4144350111841138e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.7454848756850376e-01	   1.7500000000000000e+01	   1.9150049686431885e+00
   5.5099999999999998e+00	   1.4072490769033596e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.8551533020666016e-01	   1.7549999999999997e+01	   1.9178532361984253e+00
   5.5200000000000005e+00	   1.4002725678520353e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9165898665741015e-01	   1.7600000000000001e+01	   1.9206948280334473e+00
   5.5300000000000002e+00	   1.3934987953959581e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9513153566014834e-01	   1.7650000000000002e+01	   1.9235296249389648e+00
   5.5400000000000000e+00	   1.3869212820680584e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9711774944356224e-01	   1.7699999999999999e+01	   1.9263578653335571e+00
   5.5499999999999998e+00	   1.3805337486859489e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9826895956812745e-01	   1.7750000000000000e+01	   1.9291793107986450e+00
   5.5600000000000005e+00	   1.3743301168691801e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9894545486009001e-01	   1.7800000000000004e+01	   1.9319940805435181e+00
   5.5700000000000003e+00	   1.3683044964750872e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9934853830354509e-01	   1.7850000000000001e+01	   1.9348021745681763e+00
   5.5800000000000001e+00	   1.3624511819840386e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9959202860483809e-01	   1.7899999999999999e+01	   1.9376022815704346e+00
   5.5899999999999999e+00	   1.3567646702519809e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9974110430750263e-01	   1.7949999999999999e+01	   1.9403940439224243e+00
   5.6000000000000005e+00	   1.3512396371935528e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9983357993575139e-01	   1.8000000000000004e+01	   1.9431773424148560e+00
   5.6100000000000003e+00	   1.3458709280186868e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9989168144434304e-01	   1.8050000000000001e+01	   1.9459531307220459e+00
   5.6200000000000001e+00	   1.3406535329754828e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9992864111703916e-01	   1.8100000000000001e+01	   1.9483796358108521e+00
   5.6299999999999999e+00	   1.3355886606936565e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9995241318031569e-01	   1.8149999999999999e+01	   1.9505469799041748e+00
   5.6399999999999997e+00	   1.3306758729444134e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9996787777138274e-01	   1.8199999999999999e+01	   1.9525218009948730e+00
   5.6500000000000004e+00	   1.3259135598323365e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9997805425220210e-01	   1.8250000000000000e+01	   1.9543536901473999e+00
   5.6600000000000001e+00	   1.3212992821489980e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9998482820733692e-01	   1.8300000000000001e+01	   1.9560791254043579e+00
   5.6699999999999999e+00	   1.3168300312903057e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9998938888061373e-01	   1.8350000000000001e+01	   1.9577251672744751e+00
   5.6799999999999997e+00	   1.3125024145748245e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999249404865931e-01	   1.8399999999999999e+01	   1.9593119621276855e+00
   5.6900000000000004e+00	   1.3083127899400177e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999463160820179e-01	   1.8450000000000003e+01	   1.9608544111251831e+00
   5.7000000000000002e+00	   1.3042573666412171e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999611898775209e-01	   1.8500000000000000e+01	   1.9623636007308960e+00
   5.7100000000000000e+00	   1.3003322773889010e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999716486398271e-01	   1.8550000000000001e+01	   1.9638476371765137e+00
   5.7199999999999998e+00	   1.2965336334225485e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999790783557607e-01	   1.8599999999999998e+01	   1.9653126001358032e+00
   5.7300000000000004e+00	   1.2928575610009212e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999844089197487e-01	   1.8650000000000002e+01	   1.9667627811431885e+00
   5.7400000000000002e+00	   1.2893002325234125e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999882704291077e-01	   1.8700000000000003e+01	   1.9682016372680664e+00
   5.7500000000000000e+00	   1.2858578798641915e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999910940005110e-01	   1.8750000000000000e+01	   1.9696316719055176e+00
   5.7599999999999998e+00	   1.2825268093796113e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999931774062212e-01	   1.8799999999999997e+01	   1.9710547924041748e+00
   5.7700000000000005e+00	   1.2793034101449489e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999947282206914e-01	   1.8850000000000001e+01	   1.9724721908569336e+00
   5.7800000000000002e+00	   1.2761841640240050e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999958924433519e-01	   1.8900000000000002e+01	   1.9738849401473999e+00
   5.7900000000000000e+00	   1.2731656449377528e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999967736646611e-01	   1.8949999999999999e+01	   1.9752938747406006e+00
   5.7999999999999998e+00	   1.2702445202474877e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999974460095575e-01	   1.9000000000000000e+01	   1.9766992330551147e+00
   5.8100000000000005e+00	   1.2674175583708067e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999979629552271e-01	   1.9050000000000004e+01	   1.9781017303466797e+00
   5.8200000000000003e+00	   1.2646816173171796e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999983633935297e-01	   1.9100000000000001e+01	   1.9795014858245850e+00
   5.8300000000000001e+00	   1.2620336524085511e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999986758275328e-01	   1.9149999999999999e+01	   1.9808987379074097e+00
   5.8399999999999999e+00	   1.2594707112056174e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999989213045015e-01	   1.9199999999999999e+01	   1.9822937250137329e+00
   5.8500000000000005e+00	   1.2569899306807287e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999991154798495e-01	   1.9250000000000004e+01	   1.9836865663528442e+00
   5.8600000000000003e+00	   1.2545885365646386e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999992700808438e-01	   1.9300000000000001e+01	   1.9850772619247437e+00
   5.8700000000000001e+00	   1.2522638427090406e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999993939525478e-01	   1.9350000000000001e+01	   1.9864660501480103e+00
   5.8799999999999999e+00	   1.2500132442063407e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999994938108494e-01	   1.9399999999999999e+01	   1.9878529310226440e+00
   5.8899999999999997e+00	   1.2478342190651293e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999995747877679e-01	   1.9449999999999999e+01	   1.9892379045486450e+00
   5.9000000000000004e+00	   1.2457243256592161e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999996408295933e-01	   1.9500000000000000e+01	   1.9906207323074341e+00
   5.9100000000000001e+00	   1.2436812044185846e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999996949891790e-01	   1.9550000000000001e+01	   1.9920018911361694e+00
   5.9199999999999999e+00	   1.2417025628101339e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999997396424367e-01	   1.9600000000000001e+01	   1.9933811426162720e+00
   5.9299999999999997e+00	   1.2397861857602901e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999997766487225e-01	   1.9649999999999999e+01	   1.9947584867477417e+00
   5.9400000000000004e+00	   1.2379299291045776e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999998074712981e-01	   1.9700000000000003e+01	   1.9961341619491577e+00
